SalePrice,PropertyType,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,TrafficNoise,ZipCode,NewConstruction,city,state
280000,Multiplex,2,9373,2400,0,3.0,6,7,1991,0,98002,False,Auburn,Washington
1000000,Single Family,1,20156,3764,1452,3.75,4,10,2005,0,98166,True,Seattle,Washington
745000,Single Family,1,26036,2060,900,1.75,4,8,1947,0,98166,False,Seattle,Washington
425000,Single Family,1,8618,3200,1640,3.75,5,7,1966,0,98168,False,Seattle,Washington
240000,Single Family,1,8620,1720,0,1.75,4,7,1948,0,98168,False,Seattle,Washington
349900,Townhouse,1,1012,930,0,1.5,2,8,2008,0,98144,True,Seattle,Washington
327500,Single Family,1,34465,1750,0,1.5,3,8,1961,0,98178,False,Seattle,Washington
347000,Single Family,1,14659,1860,620,1.75,4,7,1963,0,98178,False,Seattle,Washington
220400,Single Family,1,5324,990,0,1.0,2,6,1930,3,98032,False,Kent,Washington
437500,Multiplex,2,10585,1980,0,2.0,4,6,1924,0,98055,False,Renton,Washington
150000,Single Family,1,12750,840,0,1.0,2,6,1925,0,98055,False,Renton,Washington
300000,Single Family,1,5200,1750,600,1.0,3,7,1958,1,98118,False,Seattle,Washington
292000,Single Family,1,5240,790,0,1.0,2,6,1925,1,98118,False,Seattle,Washington
299800,Single Family,1,5240,790,0,1.0,2,6,1925,1,98118,False,Seattle,Washington
605000,Single Family,1,7320,2120,0,2.75,3,8,1901,0,98122,False,Seattle,Washington
425000,Single Family,1,3485,2620,1060,1.5,4,7,1920,0,98122,False,Seattle,Washington
455000,Single Family,1,5253,1500,750,1.75,3,6,1919,0,98115,False,Seattle,Washington
495000,Single Family,1,4600,2070,1000,2.25,3,7,1909,0,98116,False,Seattle,Washington
279500,Single Family,1,27229,3020,1510,3.0,3,6,2000,0,98001,False,Auburn,Washington
400000,Single Family,1,24034,2370,1080,2.0,4,8,1960,0,98001,False,Auburn,Washington
530500,Single Family,1,3296,1530,0,2.5,3,8,1998,0,98007,False,Bellevue,Washington
490000,Single Family,1,3696,1530,0,2.5,3,8,1998,0,98007,False,Bellevue,Washington
608000,Single Family,1,13349,2780,0,2.5,3,10,1990,1,98052,False,Redmond,Washington
630000,Single Family,1,8186,2420,0,2.5,3,10,1992,0,98052,False,Redmond,Washington
635000,Single Family,1,9093,2280,0,2.5,4,10,1990,1,98052,False,Redmond,Washington
520000,Single Family,1,9093,2280,0,2.5,4,10,1990,1,98052,False,Redmond,Washington
730000,Single Family,1,8750,3130,0,2.5,3,10,1991,0,98052,False,Redmond,Washington
605000,Single Family,1,9055,3060,600,3.25,3,10,1994,0,98052,False,Redmond,Washington
778000,Single Family,1,10223,3190,630,3.5,3,10,1994,0,98052,False,Redmond,Washington
635000,Single Family,1,13412,3130,990,2.75,4,9,1993,0,98052,False,Redmond,Washington
569950,Single Family,1,9021,2660,0,2.5,3,9,1992,0,98052,False,Redmond,Washington
527000,Single Family,1,9948,2230,0,2.75,3,9,1993,0,98052,False,Redmond,Washington
